title,location,price
"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">Neatly Finished 3 Bedroom Apartment In A Block Of Flat, Only 4 Occupant</h3>",Ajah,"1,000,000"
"<h3 itemprop=""name"">Very Decent 3 Bedroom Flat With Private Compound</h3>",Gbagada,"1,400,000"
"<h3 itemprop=""name"">Newly Built And Tastefully Finished 3 Bedroom Flat</h3>",Ikorodu,"500,000"
"<h3 itemprop=""name"">Super Luxury Newly Built 3 Bedroom Apartment For Expatriates And Indiv</h3>",Ikoyi,"9,000,000"
"<h3 itemprop=""name"">Exquisitely Finished 3 Bedroom Apartment At Affordable Price</h3>",Ikoyi,"4,500,000"
"<h3 itemprop=""name"">Serviced 3 Bedroom</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Lekki,"3,000,000"
"<h3 itemprop=""name"">Hot Deals Of Executive 3 Bedroom Apartment</h3>",VI,"6,000,000"
"<h3 itemprop=""name"">Luxuriously Furnished Of 12 Units Of 3 Bedroom Apartment</h3>",Ikoyi,"9,000,000"
"<h3 itemprop=""name"">Top Notch 3 Bedroom Apartment With Excellent Amenities</h3>",Ikoyi,"12,500,000"
"<h3 itemprop=""name"">Most Cheapest Luxury Serviced High Rise Apartments</h3>",Ikoyi,"8,000,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat + Bq Serviced</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Newly Renovated &amp; Nice 3 Bedrooms Flat, Upstairs With Pop, Big Sitting</h3>",Agege,"650,000"
"<h3 itemprop=""name"">20 Units Of 3 Bedroom Flat With Bq And Swimming Pool</h3>",VI,"7,000,000"
"<h3 itemprop=""name"">Waterfront 3 Bedroom Flat With A Bq</h3>",Ikoyi,"7,500,000"
"<h3 itemprop=""name"">Waterview Luxury 48 Units Of 3 Bedroom Flats</h3>",Lekki,"4,500,000"
"<h3 itemprop=""name"">3 Bedroom Apartment</h3>",Lekki,"3,000,000"
"<h3 itemprop=""name"">An Executive Finished 3 Bedroom All Ensuit, All Tile</h3>",Ipaja,"800,000"
"<h3 itemprop=""name"">Newly Built Luxury 3 Bedroom Flat With 1 Room Servant Quarters Attached</h3>",Lekki,"4,500,000"
"<h3 itemprop=""name"">Serviced 3bedroom Flat</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">American Standard Serviced 3bedroom Flat With Room Bq</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">3 Bedroom In Divine Homes In Thomas Estates Ajah</h3>",Ajah,"1,500,000"
"<h3 itemprop=""name"">Clean 3bedroom Flat</h3>",Ketu,"700,000"
"<h3 itemprop=""name"">Magnificent 3 Bedroom Flat With Excellent Facilities</h3>",Lekki,"800,000"
"<h3 itemprop=""name"">3 Bedroom Apartment</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Three (3) Bedroom Flat</h3>",VI,"3,500,000"
"<h3 itemprop=""name"">Very Lovely 3 Bedroom Flat</h3>",Surulere,"1,200,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With 1 Room Bq</h3>",Lekki,"3,000,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Lekki,"2,300,000"
"<h3 itemprop=""name"">A Serviced Three 3 Bedroom With Bq, Pool,gym, 24hrs Light</h3>",Ikoyi,"5,000,000"
"<h3 itemprop=""name"">3 Bedrooms Flat</h3>",Maryland,"2,000,000"
"<h3 itemprop=""name"">3 Bedroom Luxury Apartment With 1 Room Servant Quarter</h3>",VI,"12,000,000"
"<h3 itemprop=""name"">Three Bedroom Flat</h3>",Ajah,"1,400,000"
"<h3 itemprop=""name"">Premium 3 Bedroom Highrise Apartment</h3>",Ikoyi,"8,000,000"
"<h3 itemprop=""name"">Upscale 3 Bedroom Premium Apartment</h3>",Ikoyi,"7,500,000"
"<h3 itemprop=""name"">Beautiful 3 Bedroom Apartment</h3>",Ikoyi,"8,500,000"
"<h3 itemprop=""name"">Standard 3 Bedroom Flat With Room Bq Upstairs, 2 Flats In The Compound</h3>",Lekki,"3,200,000"
"<h3 itemprop=""name"">Decent 3 Bedroom Flat With All Rooms Ensuite</h3>",Ikeja,"900,000"
"<h3 itemprop=""name"">Neatly Finished 3 Bedroom Apartment In A Block Of Flat, Only 4 Occupant</h3>",Ajah,"1,000,000"
"<h3 itemprop=""name"">Very Decent 3 Bedroom Flat With Private Compound</h3>",Gbagada,"1,400,000"
"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">Lovely 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Nice 3 Bedroom Apartment</h3>",Lekki,"2,600,000"
"<h3 itemprop=""name"">Newly Built 6 B Nos Luxury 3 Bedroom Apartment</h3>",Ikeja,"1,350,000"
"<h3 itemprop=""name"">3 Bedroom Fully Fitted Apartment With Swimming Pool And Badminton Room</h3>",Ikoyi,"8,000,000"
"<h3 itemprop=""name"">3 Bedroom Fully Fitted Apartment With A Bq And Swimming Pool</h3>",Ikoyi,"7,500,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Apartment</h3>",Ikoyi,"10,000,000"
"<h3 itemprop=""name"">Brand New 3 Bedroom Flat With A Bq</h3>",Lekki,"1,500,000"
"<h3 itemprop=""name"">Clean 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Executive Exotic Finished 3 Bedroom Flat Wit Pop..</h3>",Ketu,"1,200,000"
"<h3 itemprop=""name"">Clean 3 Bedroom Flat Upstairs</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Fully Serviced 3 Bedroom Apartment With B.q</h3>",Lekki,"3,500,000"
"<h3 itemprop=""name"">Spacious 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat</h3>",Lekki,"1,700,000"
