,title,location,price
55,"<h3 itemprop=""name"">Newly Renovated &amp; Nice 3 Bedrooms Flat, Upstairs With Pop, Big Sitting</h3>,Agege,""650,000""",,
56,"<h3 itemprop=""name"">20 Units Of 3 Bedroom Flat With Bq And Swimming Pool</h3>,VI,""7,000,000""",,
57,"<h3 itemprop=""name"">Waterfront 3 Bedroom Flat With A Bq</h3>,Ikoyi,""7,500,000""",,
58,"<h3 itemprop=""name"">Waterview Luxury 48 Units Of 3 Bedroom Flats</h3>,Lekki,""4,500,000""",,
59,"<h3 itemprop=""name"">3 Bedroom Apartment</h3>,Lekki,""3,000,000""",,
60,"<h3 itemprop=""name"">An Executive Finished 3 Bedroom All Ensuit, All Tile</h3>,Ipaja,""800,000""",,
61,"<h3 itemprop=""name"">Newly Built Luxury 3 Bedroom Flat With 1 Room Servant Quarters Attached</h3>,Lekki,""4,500,000""",,
62,"<h3 itemprop=""name"">Serviced 3bedroom Flat</h3>,Lekki,""2,000,000""",,
63,"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>,Lekki,""2,800,000""",,
64,"<h3 itemprop=""name"">Lovely 3 Bedroom Flat</h3>,Lekki,""1,800,000""",,
65,"<h3 itemprop=""name"">Nice 3 Bedroom Apartment</h3>,Lekki,""2,600,000""",,
66,"<h3 itemprop=""name"">Newly Built 6 B Nos Luxury 3 Bedroom Apartment</h3>,Ikeja,""1,350,000""",,
67,"<h3 itemprop=""name"">3 Bedroom Fully Fitted Apartment With Swimming Pool And Badminton Room</h3>,Ikoyi,""8,000,000""",,
68,"<h3 itemprop=""name"">3 Bedroom Fully Fitted Apartment With A Bq And Swimming Pool</h3>,Ikoyi,""7,500,000""",,
69,"<h3 itemprop=""name"">Luxury 3 Bedroom Apartment</h3>,Ikoyi,""10,000,000""",,
70,"<h3 itemprop=""name"">Brand New 3 Bedroom Flat With A Bq</h3>,Lekki,""1,500,000""",,
71,"<h3 itemprop=""name"">Clean 3 Bedroom Flat</h3>,Lekki,""1,800,000""",,
72,"<h3 itemprop=""name"">Executive Exotic Finished 3 Bedroom Flat Wit Pop..</h3>,Ketu,""1,200,000""",,
73,"<h3 itemprop=""name"">Clean 3 Bedroom Flat Upstairs</h3>,Lekki,""2,000,000""",,
74,"<h3 itemprop=""name"">Fully Serviced 3 Bedroom Apartment With B.q</h3>,Lekki,""3,500,000""",,
75,"<h3 itemprop=""name"">Spacious 3 Bedroom Flat</h3>,Lekki,""1,800,000""",,
76,"<h3 itemprop=""name"">Luxury 3 Bedroom Flat</h3>,Lekki,""1,700,000""",,
77,"<h3 itemprop=""name"">Exquisitely Furnished 3 Bedroom Apartment</h3>,VI,""4,500,000""",,
78,"<h3 itemprop=""name"">Newly Built 3 Bedroom Apartment</h3>,Lekki,""2,500,000""",,
79,"<h3 itemprop=""name"">3 Bedroom Flat</h3>,Maryland,""2,000,000""",,
80,"<h3 itemprop=""name"">Brand New Tastefully Finished 3 Bedrooms With All Rooms En</h3>,Maryland,""2,000,000""",,
81,"<h3 itemprop=""name"">3 Bedroom Flat Newly Renovated</h3>,Ikorodu,""450,000""",,
82,"<h3 itemprop=""name"">3 Bedroom Flat</h3>,Lekki,""1,800,000""",,
